# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	35298
#@/user_id	527937a2-03e0-4f4e-be0c-19d4f0f5bc3e
a 	啊	c=205 d=1.40275 t=35298
mei yi si 	沒意思	c=1 d=1.06495e-05 t=35298
mei ying 	魅影	c=1 d=9.35411e-39 t=35298
mei yong 	沒用	c=7 d=0.211804 t=35298
mei yong ge 	沒用個	c=1 d=0.0057417 t=35298
mei you 	沒有	c=124 d=1.86787 t=35298
mei you ma 	沒有嗎	c=1 d=0.00524752 t=35298
mei you wen ti 	沒有問題	c=1 d=1 t=34544
mei yue 	每月	c=1 d=4.97093e-13 t=35298
mei zhe 	沒轍	c=2 d=3.20865e-10 t=35298
mei zi 	妹子	c=11 d=0.914927 t=35298
mei zi zi 	美滋滋	c=2 d=0.331211 t=35298
men 	們	c=16 d=0.159497 t=35298
men 	門	c=4 d=1.22898e-06 t=35298
men dao 	門道	c=1 d=1.83026e-23 t=35298
men ka 	門卡	c=1 d=9.70776e-05 t=35298
men kan 	門檻	c=2 d=1.18285e-05 t=35298
men kou 	門口	c=2 d=8.64407e-22 t=35298
meng 	夢	c=1 d=0.000284437 t=35298
meng 	懵	c=1 d=3.6673e-23 t=35298
meng 	猛	c=1 d=0.00163682 t=35298
meng 	盟	c=2 d=3.12837e-06 t=35298
meng dui 	蒙对	c=1 d=5.68554e-05 t=35298
meng hu 	猛虎	c=2 d=0.00557649 t=35298
meng hui 	夢迴	c=1 d=5.05822e-12 t=35298
meng lie 	猛烈	c=1 d=0.00260584 t=35298
meng xiang 	夢想	c=2 d=0.00188875 t=35298
mi 	米	c=11 d=0.396711 t=35298
mi ji 	密集	c=1 d=2.9773e-12 t=35298
mi jia 	米家	c=2 d=0.000911882 t=35298
mi ma 	密碼	c=25 d=1.46657e-05 t=35298
mi mi 	祕密	c=1 d=0.0109436 t=35298
mi xin 	迷信	c=1 d=5.62305e-22 t=35298
mian 	免	c=4 d=1.73443e-08 t=35298
mian 	麪	c=1 d=4.64607e-12 t=35298
mian bao 	麪包	c=1 d=0.000578542 t=35298
mian bao 	🍞	c=1 d=1.11989e-38 t=35298
mian bei 	棉被	c=1 d=0.0170774 t=35298
mian dian 	緬甸	c=1 d=2.54228e-36 t=35298
mian fei 	免費	c=4 d=0.0191587 t=35298
mian jing 	面经	c=2 d=2.62533e-10 t=35298
mian qian 	面前	c=1 d=2.50443e-36 t=35298
mian shi 	面試	c=21 d=6.6743e-09 t=35298
mian xiang 	面向	c=2 d=2.08568e-23 t=35298
mian zi 	面子	c=1 d=0.00271219 t=35298
miao 	描	c=1 d=1.27186e-35 t=35298
miao 	秒	c=7 d=2.68609e-07 t=35298
miao a 	秒啊	c=1 d=8.82798e-05 t=35298
miao dong 	秒懂	c=1 d=0.00229965 t=35298
miao mang 	渺茫	c=1 d=9.09343e-30 t=35298
miao shu 	描述	c=8 d=0.0045122 t=35298
miao shu 	秒數	c=1 d=3.83153e-09 t=35298
miao xiao 	渺小	c=1 d=0.00249118 t=35298
miao zai 	妙哉	c=1 d=4.04748e-07 t=35298
miao zhun 	瞄準	c=1 d=4.45388e-15 t=35298
min fang 	民房	c=9 d=9.42726e-13 t=35298
min qing 	民情	c=1 d=6.35096e-13 t=35298
ming 	名	c=16 d=0.579193 t=35298
ming cheng 	名稱	c=27 d=0.14188 t=35298
ming chui qian gu 	名垂千古	c=1 d=1.7652e-09 t=35298
ming e 	名額	c=1 d=1.13666e-07 t=35298
ming ling 	命令	c=7 d=0.00431784 t=35298
ming ling hang 	命令行	c=4 d=0.932394 t=35298
ming ming 	命名	c=6 d=0.00514362 t=35298
ming ming 	明明	c=1 d=0.000273284 t=35298
ming nian 	明年	c=4 d=0.259106 t=35298
ming pian 	名片	c=1 d=5.05462e-33 t=35298
ming su 	名宿	c=1 d=5.52878e-29 t=35298
ming tian 	明天	c=19 d=0.0788672 t=35298
ming xi 	明細	c=1 d=1.77834e-08 t=35298
ming xian 	明顯	c=1 d=2.03503e-06 t=35298
ming zi 	名字	c=2 d=1.17148e-09 t=35298
mo 	摸	c=2 d=0.0216689 t=35298
mo 	末	c=1 d=1 t=32426
mo 	膜	c=1 d=3.71313e-22 t=35298
mo fang 	模仿	c=1 d=3.59837e-35 t=35298
mo hu 	模糊	c=2 d=7.54217e-06 t=35298
mo hu yin 	模糊音	c=2 d=1.8598e-22 t=35298
mo kuai 	模塊	c=3 d=3.45444e-26 t=35298
mo le 	摸了	c=1 d=3.2042e-23 t=35298
mo luo 	沒落	c=2 d=0.259151 t=35298
mo luo yao sai 	没落要塞	c=1 d=0.118837 t=35298
mo ming 	莫名	c=1 d=2.4456e-21 t=35298
mo ni qi 	模擬器	c=3 d=2.78275e-36 t=35298
mo nv 	魔女	c=1 d=3.14447e-37 t=35298
mo ren 	默認	c=47 d=0.287185 t=35298
mo shi 	模式	c=3 d=1.51041e-28 t=35298
mo shi 	歿世	c=2 d=0.0229644 t=35298
mo shi ji jia 	歿世機甲	c=2 d=0.0183315 t=35298
mo tai 	模態	c=0 d=1.00256e-31 t=35298
mo tai kuang 	模態框	c=1 d=1.00759e-30 t=35298
mo xie 	魔羯	c=1 d=2.65063e-27 t=35298
mo xing 	模型	c=9 d=0.021068 t=35298
mo yu 	摸魚	c=12 d=0.00211225 t=35298
mou 	某	c=2 d=0.00134011 t=35298
mou ge 	某個	c=10 d=0.0270901 t=35298
mou ren 	某人	c=2 d=0.000877485 t=35298
mou yi 	某一	c=0 d=2.83115e-09 t=35298
mou yi ge 	某一個	c=1 d=2.84535e-08 t=35298
mu ban 	模板	c=4 d=3.99687e-06 t=35298
mu biao 	目標	c=6 d=0.00122477 t=35298
mu da 	木大	c=1 d=8.27382e-07 t=35298
mu de 	母的	c=1 d=0.0139818 t=35298
mu de de 	目的地	c=1 d=1 t=33007
mu ji 	🐔	c=4 d=4.05945e-32 t=35298
mu lu 	目錄	c=6 d=3.69772e-07 t=35298
mu qian 	目前	c=46 d=2.9586 t=35298
mu qin 	母親	c=1 d=0.00479587 t=35298
mu shi shen 	牡狮神	c=1 d=4.06984e-13 t=35298
mu tou 	木頭	c=1 d=1.51695e-20 t=35298
mu tou ren 	木頭人	c=1 d=5.46912e-19 t=35298
mu yu 	木魚	c=1 d=0.293758 t=35298
mu zhu 	母豬	c=1 d=0.00489275 t=35298
mysql 	MySQL	c=1 d=4.03691e-35 t=35298
n b 	NB	c=5 d=9.61695e-23 t=35298
na 	哪	c=7 d=0.000792752 t=35298
na 	拿	c=27 d=0.86319 t=35298
na 	那	c=49 d=0.95238 t=35298
na bian 	那邊	c=40 d=0.602789 t=35298
na bu dong 	拿不動	c=1 d=0.000413854 t=35298
na chu 	拿出	c=1 d=1 t=33332
na dao 	拿到	c=4 d=3.50057e-05 t=35298
na dao shou 	拿到手	c=1 d=8.11111e-38 t=35298
na dian 	那點	c=1 d=0.00283702 t=35298
na ge 	哪個	c=15 d=0.108881 t=35298
na ge 	拿個	c=1 d=1.63738e-07 t=35298
na ge 	那個	c=46 d=0.822389 t=35298
na gei 	拿給	c=1 d=0.0792617 t=35298
na guo 	拿過	c=1 d=4.0783e-08 t=35298
na hui jia 	拿回家	c=1 d=0.000593188 t=35298
na hui qu 	拿回去	c=2 d=0.00680566 t=35298
na jia 	那家	c=1 d=3.37948e-32 t=35298
na jiu 	那就	c=3 d=0.00631392 t=35298
na kuai 	那塊	c=1 d=4.85149e-21 t=35298
na lai 	哪來	c=1 d=1.13957e-37 t=35298
na li 	哪裏	c=7 d=3.75503e-07 t=35298
na li 	那裏	c=2 d=6.02562e-12 t=35298
na li qu 	哪裏去	c=1 d=1.7142e-17 t=35298
na me 	那麼	c=8 d=0.126186 t=35298
na me duo 	那麼多	c=2 d=4.64529e-10 t=35298
na me duo shi 	那麼多事	c=1 d=2.77075e-19 t=35298
na ne 	哪呢	c=0 d=1.29112e-07 t=35298
na ni 	那你	c=1 d=3.88812e-05 t=35298
na qu 	拿去	c=1 d=2.35738e-30 t=35298
na shi 	那是	c=2 d=4.01826e-10 t=35298
na wo 	那我	c=2 d=5.60089e-05 t=35298
na xie 	那些	c=5 d=0.683861 t=35298
na yang 	那樣	c=1 d=0.000471307 t=35298
na yi 	那一	c=1 d=2.82383e-07 t=35298
na you 	哪有	c=1 d=0.000205513 t=35298
na zhang 	哪張	c=1 d=2.38236e-07 t=35298
na zhang 	那張	c=1 d=1.37807e-08 t=35298
na zhe 	拿着	c=2 d=0.00694315 t=35298
na zhe ge 	拿着個	c=1 d=2.96196e-10 t=35298
na zhong 	那種	c=7 d=0.000181365 t=35298
na zou 	拿走	c=1 d=1.22707e-25 t=35298
nai 	乃	c=1 d=6.67657e-13 t=35298
nai cha 	奶茶	c=2 d=0.000418441 t=35298
nai ma 	奶媽	c=2 d=7.78072e-25 t=35298
nan 	男	c=12 d=0.818731 t=35298
nan 	難	c=3 d=0.00242968 t=35298
nan chi 	難吃	c=1 d=7.24252e-29 t=35298
nan dao 	難道	c=1 d=6.84328e-09 t=35298
nan de 	男的	c=1 d=1 t=32435
nan dian 	難點	c=1 d=0.351692 t=35298
nan fang 	男方	c=5 d=0.00828333 t=35298
nan gua 	南瓜	c=1 d=0.00412784 t=35298
nan guai 	難怪	c=2 d=3.65287e-06 t=35298
nan ning 	南寧	c=1 d=3.25603e-06 t=35298
nan ren 	男人	c=2 d=1.51277e-17 t=35298
nan ting 	難聽	c=1 d=1.86083e-12 t=35298
nang 	囊	c=1 d=1 t=33484
nao 	鬧	c=1 d=1 t=32431
nao can 	腦殘	c=2 d=0.00119594 t=35298
nao hui 	腦回	c=0 d=1.96504e-07 t=35298
nao hui lu 	腦回路	c=1 d=1.97489e-06 t=35298
nao zi 	腦子	c=2 d=1.73443e-08 t=35298
ne 	呢	c=11 d=0.00425355 t=35298
nei 	內	c=6 d=0.239309 t=35298
nei bu 	內部	c=3 d=1.43777e-07 t=35298
nei ce 	內測	c=3 d=0.000125275 t=35298
nei cun 	內存	c=11 d=0.000578274 t=35298
nei lu 	內陸	c=4 d=1.49439e-05 t=35298
nei neng li 	內能力	c=1 d=0.00275318 t=35298
nei rong 	內容	c=20 d=0.820174 t=35298
nei yi 	內衣	c=0 d=1.38544e-13 t=35298
nei yuan 	內源	c=1 d=1.47007e-33 t=35298
neng 	能	c=25 d=0.00257368 t=35298
neng bu neng 	能不能	c=2 d=1.12225e-05 t=35298
neng bu neng yong 	能不能用	c=1 d=0.000112788 t=35298
neng fa 	能發	c=1 d=4.61017e-09 t=35298
neng fou 	能否	c=1 d=1 t=34948
neng li 	能力	c=0 d=0.000273944 t=35298
neng liang 	能量	c=1 d=0.00360656 t=35298
neng yan 	能演	c=1 d=0.0413782 t=35298
neng zai 	能在	c=1 d=0.0380064 t=35298
ni 	你	c=436 d=4.81371 t=35298
ni 	擬	c=1 d=3.70858e-37 t=35298
ni ba 	泥巴	c=1 d=3.94688e-05 t=35298
ni cai 	你猜	c=1 d=0.0101022 t=35298
ni cheng 	昵稱	c=16 d=0.0411818 t=35298
ni de 	你的	c=2 d=6.50003e-05 t=35298
ni ge 	你個	c=2 d=0.847894 t=35298
ni hao 	你好	c=3 d=6.14421e-06 t=35298
ni ma 	尼瑪	c=1 d=0.831104 t=35298
ni mai 	你買	c=1 d=0.000620491 t=35298
ni men 	你們	c=20 d=0.0137467 t=35298
ni na 	妮娜	c=1 d=1.13431e-12 t=35298
ni na bian 	你那邊	c=1 d=2.76124e-08 t=35298
ni shi 	你是	c=3 d=0.97531 t=35298
ni tou er nao er ta 	你頭兒腦兒他	c=2 d=2.52543e-06 t=35298
ni wei 	膩味	c=1 d=8.08466e-29 t=35298
ni xu yao 	你需要	c=2 d=0.00109719 t=35298
ni yao 	你要	c=4 d=0.00012341 t=35298
ni ye 	你也	c=1 d=4.56508e-11 t=35298
ni yi wei 	你以爲	c=1 d=3.36388e-07 t=35298
ni you 	你又	c=1 d=1.07598e-38 t=35298
ni you 	你有	c=1 d=1.12245e-06 t=35298
ni you bu lai 	你又不來	c=1 d=9.68737e-39 t=35298
nian 	年	c=36 d=0.637011 t=35298
nian di 	年底	c=1 d=1 t=35096
nian du 	年度	c=3 d=7.52526e-09 t=35298
nian fei 	年費	c=2 d=1.42004e-08 t=35298
nian fen 	年份	c=1 d=8.3266e-23 t=35298
nian huo 	年貨	c=1 d=1.94105e-38 t=35298
nian ling 	年齡	c=2 d=0.0911727 t=35298
nian qing 	年輕	c=3 d=0.245198 t=35298
nian tie 	粘貼	c=1 d=1.03686e-14 t=35298
nian xian 	年限	c=2 d=2.43051e-07 t=35298
niang 	釀	c=0 d=0.00206508 t=35298
niang jia 	孃家	c=1 d=2.47016e-21 t=35298
niao 	鳥	c=3 d=3.34904e-12 t=35298
nie 	捏	c=1 d=1.3181e-14 t=35298
nin 	您	c=3 d=3.19982e-07 t=35298
ning 	寧	c=2 d=0.852152 t=35298
ning 	擰	c=2 d=4.8434e-23 t=35298
ning de 	寧德	c=6 d=0.554307 t=35298
ning meng 	🍋	c=5 d=0.037465 t=35298
niu 	🐂	c=1 d=1.49178e-29 t=35298
niu bi 	牛逼	c=1 d=1.92142e-36 t=35298
niu nai 	牛奶	c=1 d=8.46856e-16 t=35298
niu rou mian 	牛肉麪	c=1 d=3.35223e-25 t=35298
nong 	弄	c=6 d=2.42722e-07 t=35298
nong 	農	c=2 d=3.21532e-05 t=35298
nong cun 	農村	c=4 d=0.954993 t=35298
nong ge 	弄個	c=0 d=6.44585e-12 t=35298
nong hang 	農行	c=3 d=2.35337e-10 t=35298
nong hu 	農戶	c=0 d=9.68434e-07 t=35298
nong huo 	農活	c=1 d=5.88988e-38 t=35298
nong li 	農曆	c=1 d=8.36832e-23 t=35298
nong ye 	農業	c=3 d=0.263158 t=35298
nong ye yin hang 	農業銀行	c=1 d=3.80052e-31 t=35298
nu 	怒	c=1 d=3.01338e-36 t=35298
nu li 	努力	c=3 d=4.06708e-05 t=35298
nuo 	諾	c=1 d=1.67273e-23 t=35298
nv 	女	c=10 d=0.000373705 t=35298
nv de 	女的	c=1 d=1 t=32437
nv er 	女兒	c=6 d=0.00440089 t=35298
nv fang 	女方	c=3 d=0.00488887 t=35298
nv mo 	女魔	c=7 d=4.30905e-36 t=35298
nv peng you 	女朋友	c=6 d=0.222036 t=35298
nv quan 	女權	c=2 d=2.2167e-12 t=35298
nv ren 	女人	c=3 d=0.000867409 t=35298
nv sheng 	女生	c=4 d=0.00537515 t=35298
nv xing 	女性	c=1 d=2.08152e-07 t=35298
nv zhu 	女主	c=1 d=1.97993e-36 t=35298
o 	哦	c=6 d=0.551563 t=35298
o k 	🆗	c=1 d=3.02807e-05 t=35298
o na ne chou ti ou niao 	哦哪呢抽屜鷗鳥	c=1 d=1.29759e-06 t=35298
o wo 	喔喔	c=0 d=2.74887e-15 t=35298
ou 	偶	c=1 d=2.07897e-22 t=35298
ou er 	偶爾	c=2 d=1.523e-08 t=35298
ou niao 	鷗鳥	c=0 d=1.23431e-07 t=35298
ou ran 	偶然	c=0 d=1.2405e-07 t=35298
ou ran kan 	偶然看	c=2 d=2.55081e-06 t=35298
ou ti mu 	偶蹄目	c=0 d=1.50395e-08 t=35298
pa 	怕	c=3 d=1.10762e-26 t=35298
pa 	爬	c=6 d=0.0724398 t=35298
pa chong 	爬蟲	c=4 d=0.970446 t=35298
pa shan 	爬山	c=2 d=1.46657e-05 t=35298
pai 	拍	c=9 d=0.514274 t=35298
pai 	牌	c=1 d=4.5643e-09 t=35298
pai ban 	排版	c=1 d=0.00334597 t=35298
pai cha 	排查	c=5 d=0.860325 t=35298
pai chu 	排除	c=1 d=1 t=34449
pai dui 	排隊	c=1 d=2.32869e-33 t=35298
pai ge zhao pian 	拍個照片	c=1 d=1.71298e-38 t=35298
pai hang 	排行	c=4 d=1.92613e-06 t=35298
pai hang bang 	排行榜	c=5 d=5.41744e-25 t=35298
pai ming 	排名	c=2 d=0.644036 t=35298
pai shang 	派上	c=1 d=0.00100276 t=35298
pai she 	拍攝	c=1 d=0.000871757 t=35298
pai xu 	排序	c=28 d=0.0229781 t=35298
pai zhe 	拍着	c=2 d=0.00176545 t=35298
pan 	盤	c=7 d=5.38921e-18 t=35298
pan ding 	判定	c=1 d=1 t=31937
pan duan 	判斷	c=75 d=0.495992 t=35298
pan tu 	叛徒	c=1 d=5.1666e-26 t=35298
pang bian 	旁邊	c=5 d=0.900325 t=35298
pang xie 	螃蟹	c=1 d=7.72232e-19 t=35298
pang xie 	🦀️	c=1 d=7.76104e-19 t=35298
pao 	拋	c=1 d=2.77509e-08 t=35298
pao 	泡	c=2 d=0.826959 t=35298
pao 	炮	c=1 d=1 t=33495
pao 	跑	c=28 d=0.00112148 t=35298
pao bu qi lai 	跑不起来	c=1 d=3.47164e-25 t=35298
pao le 	跑了	c=1 d=1.47387e-34 t=35298
pao lu 	跑路	c=3 d=3.80581e-18 t=35298
pao qi lai 	跑起來	c=1 d=3.4029e-25 t=35298
pao qu 	跑去	c=1 d=0.0118551 t=35298
pao wan 	跑完	c=1 d=0.00016826 t=35298
pao zao 	🛀	c=1 d=2.78899e-08 t=35298
pei 	賠	c=2 d=0.012384 t=35298
pei 	配	c=3 d=0.00307449 t=35298
pei chang 	賠償	c=2 d=0.000717312 t=35298
pei da te 	配达特	c=2 d=2.58936e-06 t=35298
pei he 	配合	c=2 d=0.000104301 t=35298
pei wo 	陪我	c=1 d=2.02206e-19 t=35298
pei xun 	培訓	c=1 d=3.05841e-34 t=35298
pei yang 	培養	c=3 d=0.0400814 t=35298
pei yu 	培育	c=1 d=3.08924e-05 t=35298
pei zhi 	配置	c=20 d=0.00108725 t=35298
peng 	碰	c=2 d=1.44149e-08 t=35298
peng dao 	碰到	c=1 d=0.000430743 t=35298
peng you 	朋友	c=2 d=1.25642e-09 t=35298
peng you quan 	朋友圈	c=1 d=2.9835e-07 t=35298
php 	PHP	c=4 d=1.06836e-24 t=35298
pi 	屁	c=3 d=3.50963e-06 t=35298
pi 	批	c=2 d=0.491644 t=35298
pi fa 	批發	c=1 d=0.00304273 t=35298
pi gu 	屁股	c=1 d=5.7456e-11 t=35298
pi liang 	批量	c=13 d=1.07689 t=35298
pi pei 	匹配	c=3 d=1.80958e-07 t=35298
pian 	偏	c=2 d=0.000305061 t=35298
pian 	片	c=5 d=0.0208584 t=35298
pian chang 	片場	c=1 d=1.01301e-05 t=35298
pian pi 	偏僻	c=0 d=4.22646e-17 t=35298
pian ta 	騙她	c=1 d=0.000792752 t=35298
pian wo 	騙我	c=1 d=1.99575e-12 t=35298
pian yi 	便宜	c=10 d=0.0755563 t=35298
piao 	嫖	c=1 d=0.00161245 t=35298
piao 	票	c=2 d=0.000183188 t=35298
piao 	飄	c=2 d=0.0788664 t=35298
piao jia 	票價	c=1 d=1.59446e-18 t=35298
piao liang 	漂亮	c=2 d=6.38605e-19 t=35298
pin 	品	c=2 d=1.44498e-07 t=35298
pin 	拼	c=1 d=2.00398e-31 t=35298
pin dao 	頻道	c=2 d=2.31768e-36 t=35298
pin fan 	頻繁	c=1 d=8.27072e-32 t=35298
pin jie 	拼接	c=2 d=1.21887e-05 t=35298
pin ming 	拼命	c=1 d=3.97693e-06 t=35298
pin pai 	品牌	c=15 d=10.4155 t=33421
pin xie 	拼寫	c=1 d=8.79743e-23 t=35298
pin yin 	拼音	c=2 d=0.0383194 t=35298
ping 	屏	c=4 d=0.0514279 t=35298
ping 	平	c=4 d=0.0186856 t=35298
ping 	憑	c=1 d=0.0359725 t=35298
ping 	評	c=1 d=8.62171e-21 t=35298
ping bi 	屏蔽	c=4 d=0.00152616 t=35298
ping fen 	平分	c=1 d=9.12037e-06 t=35298
ping ge 	平哥	c=1 d=1 t=33954
ping gu 	評估	c=1 d=9.78334e-08 t=35298
ping guo 	蘋果	c=5 d=4.58815e-05 t=35298
ping guo 	🍎	c=3 d=0.384957 t=35298
ping jia 	平價	c=0 d=1.48489e-05 t=35298
ping jia 	評價	c=1 d=0.752014 t=35298
ping jia cai 	平價菜	c=1 d=0.000149233 t=35298
ping jun 	平均	c=2 d=0.199888 t=35298
ping lun 	評論	c=6 d=0.00170362 t=35298
ping mu 	屏幕	c=7 d=3.15218e-07 t=35298
ping shi 	平時	c=2 d=0.000169951 t=35298
ping tai 	平臺	c=14 d=0.932394 t=35298
ping xia 	屏下	c=4 d=1.24295 t=35298
ping yuan 	平原	c=1 d=3.39941e-13 t=35298
po 	婆	c=1 d=1.57724e-08 t=35298
po 	破	c=1 d=0.0387742 t=35298
po huai 	破壞	c=1 d=5.94502e-30 t=35298
po jie 	破解	c=22 d=0.000459719 t=35298
po jie ban 	破解版	c=1 d=1.54865e-28 t=35298
po jie qi 	破解器	c=1 d=7.92887e-06 t=35298
po lan 	破爛	c=1 d=2.39466e-38 t=35298
pu 	鋪	c=3 d=0.00158844 t=35298
pu fa 	浦發	c=5 d=0.0158486 t=35298
pu ge 	铺盖	c=1 d=0.00155699 t=35298
pu pu 	僕僕	c=2 d=0.0151194 t=35298
pu pu 	樸樸	c=11 d=0.104828 t=35298
pu tao 	葡萄	c=1 d=0.000147011 t=35298
pu tong 	普通	c=7 d=7.64539e-05 t=35298
pu tong ren 	普通人	c=1 d=1.68576e-26 t=35298
qi 	其	c=1 d=1.02354e-09 t=35298
qi 	器	c=7 d=1.83669e-05 t=35298
qi 	期	c=2 d=2.82335e-05 t=35298
qi 	氣	c=2 d=1.70124e-16 t=35298
qi 	起	c=1 d=0.00136719 t=35298
qi 	騎	c=2 d=0.00965771 t=35298
qi 	齊	c=1 d=1.47824e-10 t=35298
qi bu 	起步	c=1 d=1.49696e-11 t=35298
qi che 	汽車	c=2 d=1.13306e-28 t=35298
qi chuang 	起牀	c=7 d=0.00021605 t=35298
qi dao 	騎到	c=1 d=5.96262e-06 t=35298
qi dong 	啓動	c=10 d=6.93494e-05 t=35298
qi fei 	起飛	c=1 d=0.193013 t=35298
qi fen 	氣氛	c=1 d=1.17411e-06 t=35298
qi guai 	奇怪	c=2 d=0.00737249 t=35298
qi jian 	期間	c=4 d=0.32628 t=35298
qi la 	其拉	c=1 d=1 t=35195
qi lai 	起來	c=8 d=0.600496 t=35298
qi le 	奇了	c=0 d=0.000113061 t=35298
qi le guai le 	奇了怪了	c=1 d=0.00113627 t=35298
qi lv zhao ma 	騎驢找馬	c=2 d=1.11166e-10 t=35298
qi ma 	起碼	c=3 d=0.00031751 t=35298
qi pa 	奇葩	c=4 d=0.0983532 t=35298
qi qi guai guai 	奇奇怪怪	c=1 d=6.09778e-05 t=35298
qi shi 	其實	c=8 d=0.000104117 t=35298
qi shi 	起始	c=1 d=0.00120654 t=35298
qi shui 	汽水	c=1 d=5.15851e-37 t=35298
qi ta 	其他	c=34 d=0.410176 t=35298
qi te 	奇特	c=1 d=1.87691e-25 t=35298
qi xi 	氣息	c=1 d=1.9559e-10 t=35298
qi ye 	企業	c=14 d=0.00353515 t=35298
qi yong 	啓用	c=3 d=3.31939e-15 t=35298
qi yong 	棄用	c=1 d=2.00992e-07 t=35298
qi yu 	其餘	c=1 d=2.89177e-22 t=35298
qia fan 	恰飯	c=1 d=1.14255e-09 t=35298
qian 	前	c=22 d=0.0408874 t=35298
qian 	千	c=2 d=0.131336 t=35298
qian 	牽	c=1 d=0.00860854 t=35298
qian 	簽	c=3 d=2.61978e-07 t=35298
qian 	遷	c=1 d=0.00856561 t=35298
qian 	錢	c=25 d=1.36994 t=35298
qian bao 	錢包	c=10 d=0.0153752 t=35298
qian che 	前車	c=1 d=3.92706e-34 t=35298
qian dao 	簽到	c=5 d=2.24088e-22 t=35298
qian duan 	前段	c=1 d=7.11022e-18 t=35298
qian duan 	前端	c=27 d=5.25847e-06 t=35298
qian gui ze 	潛規則	c=0 d=7.7904e-35 t=35298
qian gui ze he 	潛規則和	c=1 d=7.82946e-34 t=35298
qian hou 	前後	c=2 d=0.000270564 t=35298
qian hou duan 	前後端	c=3 d=1.08384e-06 t=35298
qian ji tian 	前幾天	c=2 d=4.27561e-05 t=35298
qian le 	欠了	c=1 d=2.30638e-08 t=35298
qian mian 	前面	c=4 d=5.30207e-07 t=35298
qian ming 	簽名	c=1 d=5.27276e-30 t=35298
qian niu hua 	牽牛花	c=1 d=2.6085e-15 t=35298
qian pu 	前埔	c=4 d=1.33581e-17 t=35298
qian tai 	前臺	c=1 d=1.41975e-35 t=35298
qian ti 	前提	c=4 d=0.0550232 t=35298
qian tian 	前天	c=2 d=0.0214936 t=35298
qian wan 	千萬	c=1 d=3.8493e-34 t=35298
qian yi ge 	前一個	c=2 d=0.000104643 t=35298
qian yi tian 	前一天	c=2 d=0.000197455 t=35298
qian zhi 	前置	c=2 d=4.63258e-05 t=35298
qian zi 	簽字	c=1 d=1.63766e-09 t=35298
qiang 	強	c=4 d=0.000452826 t=35298
qiang 	搶	c=4 d=0.00264139 t=35298
qiang 	槍	c=3 d=0.00182715 t=35298
qiang 	牆	c=3 d=0.00956208 t=35298
qiang 	腔	c=1 d=1 t=33485
qiang dao 	搶到	c=1 d=0.000182274 t=35298
qiang du 	強度	c=4 d=0.00263155 t=35298
qiang guan 	槍管	c=1 d=0.000110003 t=35298
qiang guo 	搶過	c=1 d=0.000198445 t=35298
qiang lie 	強烈	c=1 d=0.292293 t=35298
qiang piao 	搶票	c=1 d=4.04748e-07 t=35298
qiang po 	強迫	c=2 d=2.13485e-05 t=35298
qiang shang 	牆上	c=1 d=1.31219e-20 t=35298
qiang ying 	強硬	c=1 d=1 t=32855
qiang zhi 	強制	c=8 d=0.00105963 t=35298
qiao bu qi 	瞧不起	c=1 d=0.11475 t=35298
qiao qiao 	瞧瞧	c=1 d=1.14252e-38 t=35298
qie 	且	c=8 d=0.0133665 t=35298
qie 	切	c=4 d=0.00670435 t=35298
qie ge 	切割	c=1 d=3.53683e-38 t=35298
qie huan 	切換	c=6 d=1.26093e-07 t=35298
qin ai 	親愛	c=1 d=2.6949e-16 t=35298
qin qi 	親戚	c=4 d=1.67509 t=35298
qin ren 	親人	c=1 d=1.59304e-37 t=35298
qin shen jing li 	親身經歷	c=1 d=8.48156e-34 t=35298
qing 	請	c=39 d=0.308308 t=35298
qing 	輕	c=3 d=4.98547e-06 t=35298
qing 	青	c=1 d=6.71004e-13 t=35298
qing bao 	轻薄	c=2 d=5.01461e-07 t=35298
qing cai 	青菜	c=2 d=0.168638 t=35298
qing chu 	清楚	c=1 d=1 t=32641
qing chu 	清除	c=6 d=0.00180339 t=35298
qing chun 	青春	c=0 d=0.00010701 t=35298
qing chun ban 	青春版	c=1 d=0.00107547 t=35298
qing dian 	輕點	c=1 d=5.64353e-06 t=35298
qing hua 	清華	c=1 d=1.30117e-09 t=35298
qing jia 	請假	c=4 d=4.48459e-16 t=35298
qing ke 	請客	c=2 d=0.0513033 t=35298
qing kong 	清空	c=2 d=6.44255e-05 t=35298
qing kuang 	情況	c=8 d=0.296648 t=35298
qing li 	清理	c=1 d=3.06685e-37 t=35298
qing ling 	輕靈	c=2 d=0.0273237 t=35298
qing lv 	情侶	c=1 d=1 t=32463
qing nian 	青年	c=1 d=0.00140882 t=35298
qing qiu 	請求	c=28 d=0.591597 t=35298
qing ren jie 	情人節	c=1 d=2.99123e-08 t=35298
qing shu ru 	請輸入	c=1 d=3.57238e-38 t=35298
qing song 	輕鬆	c=1 d=0.0115047 t=35298
qing suan 	清算	c=1 d=5.9811e-13 t=35298
qing tou 	情頭	c=1 d=4.98125e-08 t=35298
qing wen 	請問	c=1 d=5.21938e-28 t=35298
qing wo 	請我	c=6 d=0.0065062 t=35298
qing xi 	清晰	c=2 d=2.02206e-06 t=35298
qing xi 	清洗	c=1 d=4.31857e-05 t=35298
qing xiang 	傾向	c=1 d=1.82808e-09 t=35298
